supp_region|cust_region|min_price
AFRICA|AFRICA|1006.33
AMERICA|AFRICA|1800.58
ASIA|AFRICA|1003.57
EUROPE|AFRICA|1301.08
MIDDLE EAST|AFRICA|1952.69
AFRICA|AMERICA|2409.79
AMERICA|AMERICA|929.03
ASIA|AMERICA|1358.25
EUROPE|AMERICA|924.33
MIDDLE EAST|AMERICA|1041.49
AFRICA|ASIA|2059.98
AMERICA|ASIA|1402.99
ASIA|ASIA|1971.2
EUROPE|ASIA|2496.87
MIDDLE EAST|ASIA|1864.64
AFRICA|EUROPE|1547.81
AMERICA|EUROPE|2767.39
ASIA|EUROPE|1586.67
EUROPE|EUROPE|1453.27
MIDDLE EAST|EUROPE|986.63
AFRICA|MIDDLE EAST|1794.34
AMERICA|MIDDLE EAST|874.89
ASIA|MIDDLE EAST|1105.14
EUROPE|MIDDLE EAST|974.04
MIDDLE EAST|MIDDLE EAST|1733.41
